sku,sort_order,url
AB1,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/a/b/ab1_1_lziy2v1lk1aqt7oi.jpg
AB1,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/a/b/ab1_1_lziy2v1lk1aqt7oi.jpg
AB1,3,https://www.diptyque-cn.com/media/catalog/product/a/b/ab1_1_lziy2v1lk1aqt7oi.jpg
AB1,4,https://www.diptyque-cn.com/media/catalog/product/a/b/ab1_3_sug6fdszom0saioj.jpg
AB1,5,https://www.diptyque-cn.com/media/catalog/product/a/b/ab1_2_rsg728nlwoykoglg.jpg
AB1,6,https://www.diptyque-cn.com/media/catalog/product/h/e/herbier_ctm_visuel_ambre-190g_2026_rvb_bd_2025x2700px.jpg
AMB1500,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/1/1/111111111__.png
AMB1500,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/1/1/111111111__.png
AMB1500,3,https://www.diptyque-cn.com/media/catalog/product/1/1/111111111__.png
AMB1500,4,https://www.diptyque-cn.com/media/catalog/product/3/3/33333___7.png
AMB1500,5,https://www.diptyque-cn.com/media/catalog/product/4/4/44444___4.png
AMB1500,6,https://www.diptyque-cn.com/media/catalog/product/2/2/22222222222__.png
VAB,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/1/1/111111_1_.png
VAB,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/1/1/111111_1_.png
VAB,3,https://www.diptyque-cn.com/media/catalog/product/1/1/111111_1_.png
TAPCDLAB,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/f/e/feu-de-bois-chandelle_holiday-2024_tapcdlfb_rvb_hd_fond-gris_spec-ecom_2_diptyque_1.jpg
TAPCDLAB,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/f/e/feu-de-bois-chandelle_holiday-2024_tapcdlfb_rvb_hd_fond-gris_spec-ecom_2_diptyque_1.jpg
TAPCDLAB,3,https://www.diptyque-cn.com/media/catalog/product/f/e/feu-de-bois-chandelle_holiday-2024_tapcdlfb_rvb_hd_fond-gris_spec-ecom_2_diptyque_1.jpg
TAPCDLAB,4,https://www.diptyque-cn.com/media/catalog/product/f/e/feu-de-bois-chandelle_holiday-2024_tapcdlfb_rvb_hd_fond-gris_spec-ecom_1_diptyque_1.jpg
TAPCDLAB,5,https://www.diptyque-cn.com/media/catalog/product/f/e/feu-de-bois-chandelle_holiday-2024_tapcdlfb_rvb_hd_fond-gris_spec-ecom_3_diptyque_1.jpg
TAPCDLAB,6,https://www.diptyque-cn.com/media/catalog/product/2/0/202410121637192093e55aa6c5805_2fexltnhlliejevn.jpg
AB70V,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/d/i/diptyque-ambre-small-candle-70g-ab70v-1.jpg
AB70V,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/d/i/diptyque-ambre-small-candle-70g-ab70v-1.jpg
AB70V,3,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-ambre-small-candle-70g-ab70v-1.jpg
AB70V,4,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-ambre-small-candle-70g-ab70v-2.jpg
CAPSAB,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/d/i/diptyque-ambre-insert-capsab-2.jpg
CAPSAB,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/d/i/diptyque-ambre-insert-capsab-2.jpg
CAPSAB,3,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-ambre-insert-capsab-2.jpg
CAPSAB,4,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-ambre-insert-capsab-1.jpg
B1500,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/d/i/diptyque-baies-berries-candle-1500g-b1500-1_1_1.jpg
B1500,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/d/i/diptyque-baies-berries-candle-1500g-b1500-1_1_1.jpg
B1500,3,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-baies-berries-candle-1500g-b1500-1_1_1.jpg
B1500,4,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-baies-berries-candle-1500g-b1500-3_1.jpg
B1500,5,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-baies-berries-candle-1500g-b1500-4_1.jpg
B1500,6,https://www.diptyque-cn.com/media/catalog/product/1/1/1111111_2.png
REFREEDB,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/1/1/11111_2_14.png
REFREEDB,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/1/1/11111_2_14.png
REFREEDB,3,https://www.diptyque-cn.com/media/catalog/product/1/1/11111_2_14.png
REFREEDB,4,https://www.diptyque-cn.com/media/catalog/product/1/2/122222.png
HGBCARB3,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/d/i/diptyque-baies-berries-hourglass-diffuser-hgbcarb3-1.jpg
HGBCARB3,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/d/i/diptyque-baies-berries-hourglass-diffuser-hgbcarb3-1.jpg
HGBCARB3,3,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-baies-berries-hourglass-diffuser-hgbcarb3-1.jpg
HGBCARB3,4,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-baies-berries-hourglass-diffuser-hgbcarb3-2.jpg
CAPSB,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/d/i/diptyque-baies-berries-insert-capsb-2_2.jpg
CAPSB,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/d/i/diptyque-baies-berries-insert-capsb-2_2.jpg
CAPSB,3,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-baies-berries-insert-capsb-2_2.jpg
CAPSB,4,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-baies-berries-insert-capsb-1_1.jpg
TREFB1CULBUT,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/1/1/111111___3.png
TREFB1CULBUT,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/1/1/111111___3.png
TREFB1CULBUT,3,https://www.diptyque-cn.com/media/catalog/product/1/1/111111___3.png
VBV1,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/d/i/diptyque-baies-berries-room-spray-vb-1.jpg
VBV1,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/d/i/diptyque-baies-berries-room-spray-vb-1.jpg
VBV1,3,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-baies-berries-room-spray-vb-1.jpg
TAPCDLB1,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/f/i/file_3_2.jpg
TAPCDLB1,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/f/i/file_3_2.jpg
TAPCDLB1,3,https://www.diptyque-cn.com/media/catalog/product/f/i/file_3_2.jpg
TAPCDLB1,4,https://www.diptyque-cn.com/media/catalog/product/f/i/file_3_4.jpg
TAPCDLB1,5,https://www.diptyque-cn.com/media/catalog/product/_/2/_2_17.jpg
XM23TAPCDLA,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/1/1/11111___4.png
XM23TAPCDLA,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/1/1/11111___4.png
XM23TAPCDLA,3,https://www.diptyque-cn.com/media/catalog/product/1/1/11111___4.png
XM23TAPCDLA,4,https://www.diptyque-cn.com/media/catalog/product/2/2/2222222222___1.png
XM23TAPCDLA,5,https://www.diptyque-cn.com/media/catalog/product/3/3/33333___1.png
XM23TAPCDLA,6,https://www.diptyque-cn.com/media/catalog/product/4/4/44444___2.png
PB,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/d/i/diptyque-baies-berries-scented-oval-pb-1.jpg
PB,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/d/i/diptyque-baies-berries-scented-oval-pb-1.jpg
PB,3,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-baies-berries-scented-oval-pb-1.jpg
PB,4,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-baies-berries-scented-oval-pb-2.jpg
B70V,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/d/i/diptyque-baies-berries-small-candle-70g-b70v-1.jpg
B70V,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/d/i/diptyque-baies-berries-small-candle-70g-b70v-1.jpg
B70V,3,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-baies-berries-small-candle-70g-b70v-1.jpg
B70V,4,https://www.diptyque-cn.com/media/catalog/product/d/i/diptyque-baies-berries-small-candle-70g-b70v-2.jpg
TCULBUTOB,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/1/1/11111___1.png
TCULBUTOB,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/1/1/11111___1.png
TCULBUTOB,3,https://www.diptyque-cn.com/media/catalog/product/1/1/11111___1.png
TCULBUTOB,4,https://www.diptyque-cn.com/media/catalog/product/2/2/22222___3.png
TCULBUTOB,5,https://www.diptyque-cn.com/media/catalog/product/3/3/3333__.png
TCULBUTOB,6,https://www.diptyque-cn.com/media/catalog/product/4/4/44444__.png
TCULBUTOB,7,https://www.diptyque-cn.com/media/catalog/product/6/6/666666___1.png
DECO01596,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/c/o/couver_1_2_.jpg
DECO01596,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/c/o/couver_1_2_.jpg
DECO01596,3,https://www.diptyque-cn.com/media/catalog/product/c/o/couver_1_2_.jpg
DECO01596,4,https://www.diptyque-cn.com/media/catalog/product/c/o/couvercle-herbarium-baies_spring-herbarium-collection_deco01596_cmjn_hd_fond-blanc_2_diptyque_1.jpg
DECO00786,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/2/0/20_deco00786_vide_poches_basile_gm_2.jpg
DECO00786,2,https://www.diptyque-cn.com/media/catalog/product/cache/0987c99951d906691ae11a3724116354/2/0/20_deco00786_vide_poches_basile_gm_2.jpg
DECO00786,3,https://www.diptyque-cn.com/media/catalog/product/2/0/20_deco00786_vide_poches_basile_gm_2.jpg
DECO00786,4,https://www.diptyque-cn.com/media/catalog/product/2/0/20_deco00786_vide_poches_basile_gm_1.jpg
DECO00786,5,https://www.diptyque-cn.com/media/catalog/product/1/5/15_deco00784_deco00785_deco00786_familles_vide_poches_2.jpg
BOHEMEP75C,1,https://www.diptyque-cn.com/media/catalog/product/cache/92fa2b1df8db014d76385e086405e64c/d/i/diptyque-eau-de-parfum-benjoin-boheme-75ml-bohemep75c-1_2.jpg
