sku,sort_order,category_path
JA3,3,home/scented-candles/classic-scented-candles
JA3,4,new-and-trending/summer-scents
MG3,1,home
MG3,2,home/scented-candles
MG3,3,home/scented-candles/classic-scented-candles
NO2,1,home
NO2,2,home/scented-candles
NO2,3,home/scented-candles/classic-scented-candles
PA2,1,home
PA2,2,home/scented-candles
PA2,3,home/scented-candles/classic-scented-candles
PM2,1,home
PM2,2,home/scented-candles
PM2,3,home/scented-candles/classic-scented-candles
RO300,1,home
RO300,2,home/scented-candles
RO300,3,home/scented-candles/medium-scented-candles
TI3,1,home
TI3,2,home/scented-candles
TI3,3,home/scented-candles/classic-scented-candles
TI3,4,new-and-trending/summer-scents
VA2,1,home
VA2,2,home/scented-candles
VA2,3,home/scented-candles/classic-scented-candles
V2,1,home
V2,2,home/scented-candles
V2,3,home/scented-candles/classic-scented-candles
V2,4,new-and-trending/summer-scents
CAFE190,1,home
CAFE190,2,home/gift-ideas-home
CAFE190,3,home/scented-candles
CAFE190,4,home/scented-candles/classic-scented-candles
SUM26PI190,1,home/scented-candles/classic-scented-candles
SUM26PI190,2,new-and-trending/summer-scents
CARDIF34BV1,1,home/best-sellers-home
CARDIF34BV1,2,home/collections/34-collection
CARDIF34BV1,3,home/diffusers
CARDIF34BV1,4,home/diffusers/diffusers
CARDIFB,1,home/collections/baies
CARDIFB,2,home/diffusers
CARDIFB,3,home/diffusers/diffusers
CARDIFFO,1,home/collections/fleur-d-oranger
CARDIFFO,2,home/diffusers
CARDIFFO,3,home/diffusers/diffusers
CARDIFFO,4,new-and-trending/summer-scents
CARDIFRO,1,home/collections/rose
CARDIFRO,2,home/diffusers
CARDIFRO,3,home/diffusers/diffusers
CAPSFI1,1,home
CAPSFI1,2,home/collections/figuier
CAPSFI1,3,home/diffusers
CAPSFI1,4,home/diffusers/diffuseurs-electriques
CAPSFI1,5,home/diffusers/inserts
DRGCERAMWOOL,1,home
DRGCERAMWOOL,2,home/collections/la-droguerie-collection
DRGCERAMWOOL,3,home/diffusers
DRGCERAMWOOL,4,home/diffusers/la-droguerie
DRGCERAMWOOL,5,home/gift-ideas-home
CN2,1,home
CN2,2,home/scented-candles
CN2,3,home/scented-candles/classic-scented-candles
